Bonus Expense,70550.00,84300.00,86815.68,75006.03,82130.12,78477.71,22500.00
Direct  Overhead Labor,257186.76,246087.12,234359.01,299476.40,260072.90,260660.41,103726.56
Gen. & Admin Labor,82686.02,89109.51,86007.59,88272.71,88713.30,94953.33,40207.21
